trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,1078.2033470199895,1077.8635179995035,1080.6334294002227,1081.9721839998238,28335925915,1133459941,6959361539,1990684959,73.25,0,,,,,,,,,,,,,,performance,3,1.27.0
2,1076.0932867201336,1075.8492699997078,1078.8522292495145,1080.3971879995515,28202921967,1127632257,7022294830,1988037626,73.25,0,,,,,,,,,,,,,,performance,3,1.27.0
3,1071.9391084800009,1071.8274000000747,1073.835012249674,1075.6449500004237,28364307572,1129703543,6888338031,1980607725,72.7,0,,,,,,,,,,,,,,performance,3,1.27.0
