trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,1398.0928688999984,1398.0585639999958,1400.7276574499713,1401.5675089999604,28127383534,1060276810,7347555694,1905934925,65.55,0,4.78,9.231,640.42,12.8083,139,16.404,16.386,16.373,0.5633,99,99,0,1,performance,2,1.27.0
2,1398.5393262599887,1398.4291030000122,1400.7702704499593,1403.1120580000334,28143647105,1057895656,7328525069,1922187992,64.45,0,4.809,9.05,627.93,12.5585,139,16.385,16.369,16.358,0.5529,99,98,0,1,performance,2,1.27.0
3,1401.0528619600063,1400.9759299999587,1404.046097299988,1406.2422749999541,28001943894,1059391586,7404568389,1918721777,63.35,0,4.776,9.076,634.29,12.6858,140,16.368,16.353,16.344,0.555,98,98,0,1,performance,2,1.27.0
