trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,1394.9809689600443,1394.7212760003822,1398.2104006506233,1398.71811500052,28110745045,1068444399,7419215606,1917910734,64.45,0,,,,,,,,,,,,,,performance,2,1.27.0
2,1398.1097419399157,1398.2756744999278,1400.122789400939,1401.1210030002985,28217711642,1072492718,7397078484,1913998139,66.65,0,,,,,,,,,,,,,,performance,2,1.27.0
3,1393.6942693001038,1393.9420084998346,1395.888415999525,1397.1186210001179,28164067825,1051608626,7245971374,1908447655,66.65,0,,,,,,,,,,,,,,performance,2,1.27.0
