trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,1078.8582908199987,1078.0875499999638,1080.6936362000044,1102.211470000043,28346614201,1130762370,6950775328,1984395796,71.05,0,4.773,10.992,586.08,11.7216,107,16.333,16.316,16.306,0.6737,98,98,0,1,performance,3,1.27.0
2,1080.2451755999914,1080.119578999927,1082.187198199989,1083.4588039999744,28312947383,1122735923,6884299388,1985640324,69.95,0,4.766,10.969,584.83,11.6967,107,16.316,16.302,16.296,0.6729,98,98,0,1,performance,3,1.27.0
3,1081.3237480600085,1081.2918670001181,1082.9882316000635,1084.6724170000925,28336020060,1134741626,6937753424,2012073868,71.05,0,4.762,10.975,585.19,11.7038,107,16.304,16.291,16.283,0.6737,97,97,0,1,performance,3,1.27.0
