trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,2581.705264559996,2582.878763999986,2584.5629825499955,2584.932318,28455070845,1076900706,8391369378,2038121794,57.85,0,4.486,6.906,888.57,17.7713,257,16.535,16.509,16.487,0.4183,100,100,0,1,performance,1,1.27.0
2,2589.8630376200003,2589.902460499985,2591.095543649996,2591.4258330000166,28203233720,1049853903,8129164996,2047398388,57.3,0,4.755,6.856,882.11,17.6421,257,16.488,16.471,16.457,0.4162,100,99,0,1,performance,1,1.27.0
3,2592.1268294799893,2592.011818499969,2593.2618413999903,2594.2828299999974,28356401394,1051705318,8190170982,2051097055,56.75,0,4.776,6.88,888.74,17.7749,258,16.455,16.44,16.427,0.4185,99,99,0,1,performance,1,1.27.0
