trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,2937.760899280038,2936.3397324996185,2950.9440843001357,2956.096089001221,83511928065,4102641242,19782330123,7733791524,73.8,0,,,,,,,,,,,,,,performance,4,1.27.0
2,2919.8352236201026,2918.3988664990466,2934.3487565498435,2953.1059190012456,83359313649,4063377809,19414860945,7714607921,74.35,0,,,,,,,,,,,,,,performance,4,1.27.0
3,2918.269497739966,2917.8578949995426,2932.7958871477676,2936.9434290019854,83297374214,4051338131,19449612789,7690282300,73.8,0,,,,,,,,,,,,,,performance,4,1.27.0
