trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,ort_threads,ort_version
1,968.1397295199894,967.6597210000182,973.9718690500581,980.4576949998136,28493366653,1299847396,6789987426,2312071304,74.35,0,4.758,12.363,591.48,11.8296,96,16.282,16.264,16.257,0.7602,97,97,0,1,performance,4,1.27.0
2,970.0887511600012,969.4148150000501,974.3349783999747,976.2730249999549,28491828379,1304908863,6825588387,2310551561,73.8,0,4.763,12.353,597.03,11.9406,97,16.272,16.253,16.241,0.76,97,97,0,1,performance,4,1.27.0
3,969.6822880199943,969.4525185000202,973.8424464999753,975.8311730001878,28472181428,1308958624,6736971553,2313556213,74.9,0,4.824,12.301,588.35,11.767,96,16.266,16.245,16.233,0.7572,97,96,0,1,performance,4,1.27.0
