trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,n_inf,n_imgs,rounds,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,cores,ort_threads,ort_version
1,139.9117163001453,139.75261599989608,140.87789574987255,144.55436199932592,9166404799,368853506,3602695855,854058859,54.531,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
2,139.58854900690008,139.46668700009468,140.45515115030867,141.72044299994013,9097925297,358405098,3522451417,843142005,55.343,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
3,141.41309068021656,141.26738499908242,142.560401549963,143.67834400036372,9206180872,378318770,3691814921,867325647,55.937,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
4,140.4698078467724,139.7382135000953,145.6135420487044,148.8777470003697,9138577275,363162525,3547176057,853273387,56.5,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
5,140.48639294679256,140.10716550001234,142.5019094020172,151.48601200053236,9118564212,360274077,3433789270,894482010,56.718,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
