trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,n_inf,n_imgs,rounds,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,cores,ort_threads,ort_version
1,367.0602096133492,366.4189295002416,370.4151967998314,380.30482700014545,25608934830,806838511,8716443941,2036264643,55.625,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
2,366.8487450333396,366.60410050012615,368.3776799501402,369.44795999988855,25591848052,778071380,8287618343,2105427406,56.562,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
3,369.6195541533083,367.4434404999829,388.03450024990974,394.4061850002072,25608670963,794272034,8561868197,2120909358,57.0,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
4,367.6822106066629,366.0336099999313,380.32776349980395,390.5606540001827,25647683081,772481362,8519913230,2052988878,56.937,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
5,367.07002611997876,366.3043915000799,370.2097199999798,374.160646999826,25621263413,769797914,8218420229,2092622332,56.781,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
