trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,n_inf,n_imgs,rounds,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,cores,ort_threads,ort_version
1,2787.8787123266225,2779.8292569998466,2822.7127921497868,2824.8190869999235,200597857326,4763484229,55099312149,14327494671,57.562,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
2,2774.4015333266184,2771.292919499956,2795.6540080498144,2815.9821399995053,200401490991,4552428804,56206094618,14226844154,57.656,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
3,2768.3288082266577,2764.9053024997556,2803.957518799916,2810.1393779998034,199427777222,4351885660,53991038712,14113834693,57.75,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
4,2760.748327326679,2760.912554499555,2763.434440200217,2785.3836129997944,199367474921,4200845130,53229699087,13715180354,57.968,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
5,2781.839364813331,2769.6253029998843,2808.7236208997183,2815.5867600007696,199766036624,4538009555,54288953059,14107744410,57.812,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
