trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,n_inf,n_imgs,rounds,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,cores,ort_threads,ort_version
1,1039.3718916466605,1039.216925000801,1040.8660067500023,1094.2789719993016,74290243241,1981634497,25537104508,5654474859,57.812,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
2,1033.4348299865815,1033.573222501218,1035.5713794986514,1036.5590310029802,73509624179,1873879384,21012087320,5468658539,57.781,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
3,1033.8428184202592,1032.6210309995076,1047.512067349271,1048.8206490008452,73414603819,1850525851,20980592368,5477228314,57.968,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
4,1032.0527737733453,1031.6664295005467,1037.5833023474115,1044.5412029985164,73333521330,1839368704,21191691339,5355419389,58.125,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
5,1033.310931279945,1032.6875354985532,1035.8304172023054,1046.8129339969892,73355133463,1857234931,21211140623,5398184113,57.75,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,all,4,1.23.0
