trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,n_inf,n_imgs,rounds,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,cores,ort_threads,ort_version
1,5128.679093493289,5129.957492000358,5145.211650350484,5150.0936950014875,95670390719,2187886600,32553239526,6929179949,51.0,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,0,1,1.23.0
2,5139.145524046544,5136.652478499855,5156.864353301262,5163.019936999262,95720953949,2245264334,32677957214,7173743177,53.625,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,0,1,1.23.0
3,5144.430189873322,5149.44792299957,5154.826290999972,5158.578499000214,95982329951,2260785418,32977538779,7305030876,53.687,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,0,1,1.23.0
4,5134.962646659988,5132.942826000544,5153.020092400038,5156.696953999926,96216757343,2181703046,32099010737,6973722804,53.906,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,0,1,1.23.0
5,5129.3869646799785,5131.177506498716,5134.997905799719,5139.265040999817,95865874233,2179051806,32335213251,6833312112,53.968,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,0,1,1.23.0
