trial,lat_mean,lat_med,lat_p95,lat_max,l2d_cache,l2d_cache_refill,l3d_cache,ll_cache_miss_rd,peak_temp,throttle_bits,n_inf,n_imgs,rounds,p_idle_w,p_active_w,energy_j,energy_per_img_j,n_pwr,vbat_start_v,vbat_mean_v,vbat_end_v,ibat_mean_a,soc_start_pct,soc_end_pct,vbus_mw_max,on_battery,governor,cores,ort_threads,ort_version
1,2591.4264678266527,2592.0613934995345,2594.135754801391,2595.5978109996067,95736814805,2176649105,29556232227,6412070871,55.656,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,0,1,2,1.23.0
2,2583.5982347200966,2584.5909060008125,2586.722464549348,2588.444647997676,95863673548,2151176029,29617889182,6395978323,54.906,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,0,1,2,1.23.0
3,2588.531123019978,2589.647968999998,2591.6631655489255,2594.0336019993993,95861889990,2231351487,29831299177,6387035404,55.375,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,0,1,2,1.23.0
4,2582.701065973233,2583.8389895016007,2585.4113276000135,2586.381656998128,95463338134,2202985013,30365236277,6480034617,54.531,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,0,1,2,1.23.0
5,2594.116144519988,2594.8101564990793,2596.6033804508697,2597.973452997394,95419110445,2291943031,30823482875,6578694157,53.531,0,150,50,3,,,,,,,,,,,,,,jetson_clocks@1344000/schedutil,0,1,2,1.23.0
